dataField,pdfField
fileName,
ns-road,
proj-num,(ADA2_PROJ_NM)
sheet-num,
intersection,
ew-road,(ADA1_XST_NM)
corner-position,(ADA1_IIT_X_SECT)
ramp-position,(ADA2_RAMP_POS)
comments,(ADA2_COMNT)
inspector-sig,
print-name,(ADA2_INSP_NM)
agency,(ADA2_ORG)
certification,(ADA2_CERT_NO)
blank,
runslope-1,(ADA2_RUNNG_SLOPE1)
runslope-1-pf,(RS1_FAIL)
Length1,
cross-slope1,(ADA2_X_SLOPE1)
cross-slope1-pf,(CS1_PASS)
detectable-warning,(ADA2_DETCTBL_WRN)
lip-height,(ADA2_LIP_HT)
lip-height-pf,(LH_FAIL)
gutter-flow,(ADA2_GF_SLOPE)
gutter-flow-pf,(GFS_PASS)
curb-slope,(ADA2_CURB_RUNNG_SLOPE)
curb-slope-pf,(CRS_PASS)
counter-slope,(ADA2_CNTR_SLOPE)
counter-slope-pf,
long-dist,(ADA2_LNG_DIST)
long-dist-pf,
detectable-warning2,(ADA2_BK_RAMP_OBSTR)
turn-landing,(TURN_SPACE_PRSNT)
widthx,(ADA2_WD_X)
widthx-pf,(WDX_FAIL)
Length Y,(ADA2_LEN1)
lengthy-pf,(ADA_LEN_FAIL)
obstruction,
obstruction-pf,
slopex,(ADA2_SLOPE_X)
slopex-pf,
slopey,(ADA2_SLOPE_Y)
slopey-pf,(ADA2_LEN_PASS)
flare-slope1,(ADA2_FLARE_SLOPE1)
flare-slope1-pf,(FS1_PASS)
flare-slope1-trav,(ADA2_FLARE1_TRVRSBLE)
flare-slope2,(ADA2_FLARE_SLOPE2)
flare-slope2-pf,(FS2_PASS)
flare-slope2-trav,(ADA2_FLARE2_TRVRSBLE)
clear-width,(ADA2_CLR_WD)
clearwidth-pf,(CW_PASS)
intersection-control,(ADA2_SIGNAL_TYPE)
road-slope,(ADA2_SLOPE_ROAD)
horizontal-gaps,
horizontal-gaps-pf,
