fileName,NS Road,,EW Road,Corner Position,Ramp Position,image1,image2,image3
127,Nw 292 ave,&,Nw west union rd,4,1,22,23,24
128,Nw 292 ave,&,Nw west union rd,4,2,25,26,27
133,Nw 289 ave,&,Nw Kaye way,2,1,58,59,60
134,Nw 289 ave,&,Nw Kaye way,3,1,61,62,63
136,Nw 289 ave,&,Nw carver st,1,2,43,44,45
137,Nw 289 st,&,Nw carver st,2,1,46,47,48
139,Nw 289 ave,&,Nw carver st,3,1,49,50,51
140,Nw 289 ave,&,Nw carver st,3,2,52,53,54
141,Nw 289 ave,&,Nw carver st,4,1,55,56,57
150,Nw 289 ave ,&,N Keenon st,2,1,40,41,42
152,NW 288 ter,&,NW mays st,3,1,64,65,66
153,Nw 288 ter,&,Nw mays st,3,2,67,68,69
154,Nw 288 ter ,&,Nw carver st,1,1,109,110,111
155,Nw 288 ter,&,Nw carver st,2,1,112,113,114
157,Nw 288 ter,&,Nw carver st,3,2,115,116,117
158,Nw 288 ter,&,Nw carver st,4,1,118,119,120
159,Nw 288 ter,&,Nw carver st,4,2,121,122,123
160,Nw 288 ave,&,Nw Shaddon st,1,1,70,71,72
161,Nw 288 ave,&,Nw Shaddon st,1,2,73,74,75
162,Nw 288 ave,&,Nw Shaddon st,2,1,76,77,78
163,Nw 288 ave,&,Nw Shaddon st,4,1,79,80,81
164,Nw 287 ave,&,Nw Shaddon st,2,2,82,83,84
165,Nw 287 ave,&,Nw Shaddon st,3,1,85,86,87
166,Nw 287 ave,&,Nw Shaddon st,3,2,88,89,90
167,Nw 288 ave,&,Nw Shaddon st,4,1,91,92,93
168,NW 285 dr,&,Nw Shaddon st,1,1,94,95,96
169,Nw 285 ave ,&,Nw Shaddon st,3,2,97,98,99
170,Nw 285 ave,&,Nw Shaddon st,4,1,100,101,102
171,Nw 285 ave,&,Nw Shaddon st,4,2,103,104,105
202,Nw glencoe rd,&,Nw commercial ,3,1,106,107,108
197,Nw Jackson school rd,&,West union rd,4,2,31,32,33
198,Nw Jackson school rd,&,Nw West union rd,4,1,28,29,30
199,Nw 289th pl,&,Nw west union rd,2,1,34,35,36
200,Nw 289 ave,&,Nw west union rd,2,2,37,38,39
203,Nw glencoe rd,&,Commercial,4,1,19,20,21
204,Nw glencoe rd,&,Nw commercial rd,1,1,16,17,18
205,Nw 311 st,&,Nw commercial st,2,1,10,11,12
206,Nw 311 st,&,Nw commercial st,3,1,13,14,15
216,,,,,,1,2,3
219,,,,,,4,5,6
220,,,,,,7,8,9
